version,test,type,set,targhet_patition,mse,mae,mre,gen_type
V1,generalization_m_3_r_2_to_m_4_r_2,generalization,train,m_4_r_2,5603.676621100916,53.47298981934178,0.2239136389472328,constraints
V1,generalization_m_3_r_2_to_m_4_r_2,generalization,dev,m_4_r_2,7135.524902634034,56.212979095876214,0.2776958853321724,constraints
V1,generalization_m_3_r_2_to_m_4_r_2,generalization,test,m_4_r_2,130420.3284785088,272.458719984445,2.030200775315192,constraints
V1,generalization_m_3_r_2_to_m_4_r_3,generalization,train,m_4_r_3,5536.910475945461,53.95884187549961,0.2246312778885748,dimensions
V1,generalization_m_3_r_2_to_m_4_r_3,generalization,dev,m_4_r_3,7176.596548166906,56.8628688660264,0.2909891897981662,dimensions
V1,generalization_m_3_r_2_to_m_4_r_3,generalization,test,m_4_r_3,56470.223089203166,187.16031148761957,1.4166598681201898,dimensions
V1,generalization_m_4_r_2_to_m_4_r_3,generalization,train,m_4_r_3,7578.354929487427,63.0745531559994,0.2398499270120716,dimensions
V1,generalization_m_4_r_2_to_m_4_r_3,generalization,dev,m_4_r_3,7475.454245724125,61.059437230825424,0.2418541535720559,dimensions
V1,generalization_m_4_r_2_to_m_4_r_3,generalization,test,m_4_r_3,70660.90932618848,227.9230218344733,0.8931932857931406,dimensions
V1,generalization_m_4_r_3_to_m_5_r_3,generalization,train,m_5_r_3,15434.764968999803,90.75034841044064,0.3722615389732345,constraints
V1,generalization_m_4_r_3_to_m_5_r_3,generalization,dev,m_5_r_3,15160.502497653044,87.51963072776795,0.3665053468918304,constraints
V1,generalization_m_4_r_3_to_m_5_r_3,generalization,test,m_5_r_3,18317.697299253632,110.97686347379388,0.802302510640989,constraints
V1,generalization_m_5_r_3_to_m_5_r_4,generalization,train,m_5_r_4,8935.115781980234,67.95524355639913,0.2751968250383258,dimensions
V1,generalization_m_5_r_3_to_m_5_r_4,generalization,dev,m_5_r_4,7890.680187929114,62.2590461575985,0.2864909903455336,dimensions
V1,generalization_m_5_r_3_to_m_5_r_4,generalization,test,m_5_r_4,68219.96772320321,224.9009838896811,0.8716338445036077,dimensions
V2,generalization_m_3_r_2_to_m_4_r_2,generalization,train,m_4_r_2,17617.137773873128,105.2609616366446,0.8038459264432591,constraints
V2,generalization_m_3_r_2_to_m_4_r_2,generalization,dev,m_4_r_2,13668.561439415016,97.75822306662798,0.959222520251932,constraints
V2,generalization_m_3_r_2_to_m_4_r_2,generalization,test,m_4_r_2,17159.19513757599,112.71646427214144,0.937008527239468,constraints
V2,generalization_m_3_r_2_to_m_4_r_3,generalization,train,m_4_r_3,20315.279206090396,120.25748515282274,1.598952381145139,dimensions
V2,generalization_m_3_r_2_to_m_4_r_3,generalization,dev,m_4_r_3,16601.538836802825,110.42051540613174,1.2666133691567218,dimensions
V2,generalization_m_3_r_2_to_m_4_r_3,generalization,test,m_4_r_3,15478.511004781189,106.5143525493145,1.3161436347723383,dimensions
V2,generalization_m_4_r_2_to_m_4_r_3,generalization,train,m_4_r_3,21511.221538384056,125.64510721625985,2.4897153645077172,dimensions
V2,generalization_m_4_r_2_to_m_4_r_3,generalization,dev,m_4_r_3,17360.264980568118,113.591428835392,1.4907138150494157,dimensions
V2,generalization_m_4_r_2_to_m_4_r_3,generalization,test,m_4_r_3,16448.683322037014,110.53011846423148,1.5552831845189548,dimensions
V2,generalization_m_4_r_3_to_m_5_r_3,generalization,train,m_5_r_3,17729.892866012644,99.45559984386416,0.4259222351873362,constraints
V2,generalization_m_4_r_3_to_m_5_r_3,generalization,dev,m_5_r_3,11285.006031905594,87.46568209886551,0.7293631779241281,constraints
V2,generalization_m_4_r_3_to_m_5_r_3,generalization,test,m_5_r_3,12965.578222004491,89.58930757045746,0.6801502312448772,constraints
V2,generalization_m_5_r_3_to_m_5_r_4,generalization,train,m_5_r_4,17143.55231512489,112.40262036223112,1.729852175209068,dimensions
V2,generalization_m_5_r_3_to_m_5_r_4,generalization,dev,m_5_r_4,18539.57428334214,115.00714983701704,2.1882486859672867,dimensions
V2,generalization_m_5_r_3_to_m_5_r_4,generalization,test,m_5_r_4,18040.298557118724,114.22345634698868,1.3500246550295807,dimensions
V3,generalization_m_3_r_2_to_m_4_r_2,generalization,train,m_4_r_2,17657.17284014072,101.87062308344306,0.6249976675568754,constraints
V3,generalization_m_3_r_2_to_m_4_r_2,generalization,dev,m_4_r_2,15126.250555964136,97.08165013492108,0.705626230313281,constraints
V3,generalization_m_3_r_2_to_m_4_r_2,generalization,test,m_4_r_2,19136.502004316524,111.53055141746998,0.8102864730728139,constraints
V3,generalization_m_3_r_2_to_m_4_r_3,generalization,train,m_4_r_3,13482.57333541258,85.1538083853892,0.4195005769176754,dimensions
V3,generalization_m_3_r_2_to_m_4_r_3,generalization,dev,m_4_r_3,20528.674634903575,106.37590078040958,0.5825276258230729,dimensions
V3,generalization_m_3_r_2_to_m_4_r_3,generalization,test,m_4_r_3,24301.972255386027,126.34626860260964,0.6799840725745321,dimensions
V3,generalization_m_4_r_2_to_m_4_r_3,generalization,train,m_4_r_3,19775.90861602978,119.67003176418798,1.6677933361297337,dimensions
V3,generalization_m_4_r_2_to_m_4_r_3,generalization,dev,m_4_r_3,19667.97047223293,116.65879051744938,1.3305877164025135,dimensions
V3,generalization_m_4_r_2_to_m_4_r_3,generalization,test,m_4_r_3,19243.90279380727,111.71417894244196,0.945009695031047,dimensions
V3,generalization_m_4_r_3_to_m_5_r_3,generalization,train,m_5_r_3,17855.2832625624,100.0144161265526,0.4318864918105952,constraints
V3,generalization_m_4_r_3_to_m_5_r_3,generalization,dev,m_5_r_3,14275.190741172504,91.96510254502296,0.5903015710527627,constraints
V3,generalization_m_4_r_3_to_m_5_r_3,generalization,test,m_5_r_3,13029.404113342818,89.76699987888337,0.6877485926445962,constraints
V3,generalization_m_5_r_3_to_m_5_r_4,generalization,train,m_5_r_4,15772.637682454944,106.44098017933112,1.3596805354568555,dimensions
V3,generalization_m_5_r_3_to_m_5_r_4,generalization,dev,m_5_r_4,17724.763190143363,109.38162779867648,1.4386680079377638,dimensions
V3,generalization_m_5_r_3_to_m_5_r_4,generalization,test,m_5_r_4,20570.44229554273,118.42219536066057,1.0003490780637252,dimensions
baseline,normalization_m_3_r_2,baseline,train,m_3_r_2,5170.601483149666,51.50538404685756,0.2231058814265291,baseline
baseline,normalization_m_3_r_2,baseline,dev,m_3_r_2,8186.448884025805,62.004006178975104,0.2406736209431325,baseline
baseline,normalization_m_3_r_2,baseline,test,m_3_r_2,6109.420130562897,53.84563845485449,0.2752716114800365,baseline
baseline,normalization_m_4_r_2,baseline,train,m_4_r_2,8094.295300130802,64.25151657648695,0.241265782572036,baseline
baseline,normalization_m_4_r_2,baseline,dev,m_4_r_2,8429.032527059298,64.25872778862714,0.2411516144772315,baseline
baseline,normalization_m_4_r_2,baseline,test,m_4_r_2,7523.966372357117,60.40074331998825,0.2315435740800414,baseline
baseline,normalization_m_4_r_3,baseline,train,m_4_r_3,14437.191619935653,91.20527315733798,0.5084478351260918,baseline
baseline,normalization_m_4_r_3,baseline,dev,m_4_r_3,16862.849657327817,96.66916058540345,0.4863941801629785,baseline
baseline,normalization_m_4_r_3,baseline,test,m_4_r_3,14616.131574471168,91.39800378084183,0.5631152951365995,baseline
baseline,normalization_m_5_r_3,baseline,train,m_5_r_3,14050.04553493596,89.9980540248224,0.4838546482393813,baseline
baseline,normalization_m_5_r_3,baseline,dev,m_5_r_3,13782.95312847156,89.41669748306275,0.4743803858979174,baseline
baseline,normalization_m_5_r_3,baseline,test,m_5_r_3,11262.467721376986,78.21387273192406,0.4764105939185655,baseline
baseline,normalization_m_5_r_4,baseline,train,m_5_r_4,14658.535248616436,94.68233223586654,0.6423327260885672,baseline
baseline,normalization_m_5_r_4,baseline,dev,m_5_r_4,14166.404181464142,92.342410800457,0.6147233065901682,baseline
baseline,normalization_m_5_r_4,baseline,test,m_5_r_4,14490.87232133586,95.33735933303834,0.8154575549452906,baseline
