,y,frequency
0,5,2193
1,10,4823
2,15,5549
3,20,5928
4,25,5676
5,30,5376
6,35,4771
7,40,4375
8,45,3861
9,50,3395
10,55,3057
11,60,2772
12,65,2465
13,70,2316
14,75,2117
15,80,1859
16,85,1712
17,90,1539
18,95,1346
19,100,1344
20,105,1265
21,110,1118
22,115,1049
23,120,948
24,125,923
25,130,918
26,135,817
27,140,769
28,145,728
29,150,718
30,155,621
31,160,667
32,165,549
33,170,533
34,175,542
35,180,492
36,185,480
37,190,457
38,195,426
39,200,444
40,205,413
41,210,386
42,215,344
43,220,361
44,225,327
45,230,341
46,235,314
47,240,304
48,245,302
49,250,266
50,255,261
51,260,235
52,265,253
53,270,235
54,275,227
55,280,188
56,285,219
57,290,225
58,295,205
59,300,170
60,305,170
61,310,189
62,315,185
63,320,197
64,325,160
65,330,175
66,335,172
67,340,149
68,345,144
69,350,145
70,355,145
71,360,125
72,365,131
73,370,134
74,375,140
75,380,142
76,385,112
77,390,108
78,395,117
79,400,121
80,405,125
81,410,119
82,415,114
83,420,110
84,425,112
85,430,102
86,435,102
87,440,124
88,445,89
89,450,100
90,455,95
91,460,100
92,465,85
93,470,92
94,475,87
95,480,73
96,485,89
97,490,84
98,495,69
99,500,83
100,505,84
101,510,75
102,515,64
103,520,81
104,525,68
105,530,72
106,535,54
107,540,52
108,545,57
109,550,74
110,555,58
111,560,57
112,565,62
113,570,74
114,575,61
115,580,66
116,585,58
117,590,66
118,595,61
119,600,59
120,605,46
121,610,51
122,615,45
123,620,51
124,625,52
125,630,53
126,635,46
127,640,42
128,645,30
129,650,46
130,655,47
131,660,59
132,665,43
133,670,44
134,675,36
135,680,46
136,685,31
137,690,35
138,695,38
139,700,42
140,705,45
141,710,39
142,715,35
143,720,32
144,725,34
145,730,36
146,735,32
147,740,43
148,745,46
149,750,43
150,755,38
151,760,49
152,765,40
153,770,34
154,775,30
155,780,37
156,785,35
157,790,37
158,795,32
159,800,33
160,805,23
161,810,29
162,815,25
163,820,29
164,825,26
165,830,29
166,835,30
167,840,30
168,845,30
169,850,38
170,855,22
171,860,28
172,865,28
173,870,36
174,875,33
175,880,28
176,885,24
177,890,18
178,895,27
179,900,21
180,905,27
181,910,26
182,915,22
183,920,17
184,925,32
185,930,30
186,935,18
187,940,22
188,945,14
189,950,24
190,955,20
191,960,19
192,965,21
193,970,21
194,975,23
195,980,24
196,985,23
197,990,23
198,995,28
199,1000,15
200,1005,30
201,1010,29
202,1015,16
203,1020,18
204,1025,14
205,1030,23
206,1035,25
207,1040,21
208,1045,17
209,1050,20
210,1055,13
211,1060,17
212,1065,24
213,1070,16
214,1075,15
215,1080,24
216,1085,20
217,1090,16
218,1095,18
219,1100,23
220,1105,14
221,1110,12
222,1115,16
223,1120,16
224,1125,11
225,1130,15
226,1135,18
227,1140,18
228,1145,21
229,1150,15
230,1155,18
231,1160,14
232,1165,20
233,1170,21
234,1175,12
235,1180,20
236,1185,14
237,1190,15
238,1195,21
239,1200,13
240,1205,19
241,1210,15
242,1215,12
243,1220,11
244,1225,16
245,1230,19
246,1235,12
247,1240,16
248,1245,13
249,1250,20
250,1255,11
251,1260,15
252,1265,15
253,1270,15
254,1275,11
255,1280,15
256,1285,18
257,1290,10
258,1295,17
259,1300,11
260,1305,12
261,1310,13
262,1315,13
263,1320,17
264,1325,14
265,1330,10
266,1335,15
267,1340,12
268,1345,8
269,1350,5
270,1355,12
271,1360,10
272,1365,13
273,1370,8
274,1375,11
275,1380,11
276,1385,14
277,1390,10
278,1395,3
279,1400,18
280,1405,13
281,1410,14
282,1415,8
283,1420,10
284,1425,14
285,1430,13
286,1435,4
287,1440,6
288,1445,5
289,1450,9
290,1455,12
291,1460,8
292,1465,5
293,1470,8
294,1475,11
295,1480,11
296,1485,11
297,1490,10
298,1495,14
299,1500,12
300,1505,7
301,1510,8
302,1515,5
303,1520,6
304,1525,8
305,1530,11
306,1535,10
307,1540,5
308,1545,10
309,1550,5
310,1555,7
311,1560,11
312,1565,9
313,1570,10
314,1575,5
315,1580,16
316,1585,5
317,1590,15
318,1595,10
319,1600,6
320,1605,20
321,1610,10
322,1615,10
323,1620,8
324,1625,7
325,1630,10
326,1635,3
327,1640,11
328,1645,6
329,1650,10
330,1655,6
331,1660,7
332,1665,10
333,1670,7
334,1675,11
335,1680,4
336,1685,5
337,1690,8
338,1695,10
339,1700,6
340,1705,7
341,1710,9
342,1715,11
343,1720,13
344,1725,5
345,1730,7
346,1735,3
347,1740,4
348,1745,8
349,1750,5
350,1755,3
351,1760,5
352,1765,6
353,1770,10
354,1775,5
355,1780,4
356,1785,11
357,1790,5
358,1795,4
359,1800,8
360,1805,7
361,1810,8
362,1815,9
363,1820,4
364,1825,9
365,1830,7
366,1835,8
367,1840,7
368,1845,2
369,1850,9
370,1855,5
371,1860,5
372,1865,6
373,1870,8
374,1875,13
375,1880,6
376,1885,4
377,1890,5
378,1895,8
379,1900,6
380,1905,6
381,1910,7
382,1915,5
383,1920,12
384,1925,1
385,1930,10
386,1935,7
387,1940,7
388,1945,4
389,1950,7
390,1955,3
391,1960,6
392,1965,5
393,1970,3
394,1975,4
395,1980,6
396,1985,7
397,1990,2
398,1995,6
399,2000,5
400,2005,7
401,2010,6
402,2015,8
403,2020,8
404,2025,5
405,2030,7
406,2035,6
407,2040,3
408,2045,4
409,2050,5
410,2055,3
411,2060,6
412,2065,3
413,2070,9
414,2075,5
415,2080,5
416,2085,8
417,2090,7
418,2095,2
419,2100,9
420,2105,3
421,2110,2
422,2115,5
423,2120,7
424,2125,3
425,2130,2
426,2135,1
427,2140,7
428,2145,4
429,2150,5
430,2155,6
431,2160,6
432,2165,3
433,2170,4
434,2175,5
435,2180,4
436,2185,4
437,2190,4
438,2195,5
439,2200,2
440,2205,4
441,2210,5
442,2215,4
443,2220,2
444,2225,4
445,2230,3
446,2235,7
447,2240,3
448,2245,9
449,2250,2
450,2255,4
451,2260,4
452,2265,3
453,2270,8
454,2275,3
455,2280,2
456,2285,4
457,2290,3
458,2295,5
459,2300,2
460,2305,7
461,2310,3
462,2315,5
463,2320,2
464,2325,8
465,2330,6
466,2335,1
467,2340,2
468,2345,7
469,2350,2
470,2355,6
471,2360,7
472,2365,7
473,2370,2
474,2375,4
475,2380,3
476,2385,4
477,2390,5
478,2395,5
479,2400,7
480,2405,6
481,2410,5
482,2415,5
483,2420,5
484,2425,1
485,2430,5
486,2435,2
487,2440,3
488,2445,4
489,2450,4
490,2455,8
491,2460,2
492,2465,9
493,2470,2
494,2475,3
495,2480,1
496,2485,1
497,2490,5
498,2495,1
499,2500,6
500,2505,6
501,2510,3
502,2520,3
503,2525,1
504,2530,4
505,2535,5
506,2540,3
507,2545,7
508,2550,3
509,2555,2
510,2560,3
511,2565,3
512,2570,10
513,2575,3
514,2580,2
515,2590,4
516,2595,4
517,2600,4
518,2605,3
519,2610,4
520,2615,1
521,2620,3
522,2625,1
523,2630,4
524,2635,5
525,2640,1
526,2645,6
527,2650,7
528,2655,3
529,2660,3
530,2665,1
531,2670,3
532,2675,4
533,2680,2
534,2685,2
