,epoch,loss_train,mse_train,mse_dev,mse_test,mae_train,mae_dev,mae_test,mre_train,mre_dev,mre_test,pred_mean_train,pred_mean_dev,pred_mean_test,pred_std_train,pred_std_dev,pred_std_test
0,1,247.13438034057617,81053.53712660656,80674.9756080466,80490.74317815878,245.94594482599572,244.50974272072315,245.27499926924705,0.9466078953180234,0.9469039570015005,0.947018479208159,6.499028581529855,6.406647314012051,6.403893462538719,1.3878655941375562,1.253939535099498,1.1019853062599907
0,2,243.29364395141602,78512.64443894454,78231.655157219,78090.31274361347,241.00780723800136,239.72433483213186,240.5614856978655,0.9197486645470433,0.9204827720002164,0.9200803467086681,11.51402291983366,11.269995725989341,11.18229949426651,2.3633895996111938,2.2095133488742777,1.9978674600037134
0,3,237.07894134521484,74603.17104659419,74486.67629052926,74419.06147702785,233.35220339782907,232.3308303166032,233.27847603046894,0.8904794285642446,0.8909949730471349,0.8868122547323795,19.412683179140092,18.90285059070587,18.659796285629273,3.8962582244822834,3.7122410389633016,3.4128490054510854
0,4,227.87894439697266,68852.9433997582,68925.1888126794,68914.52379903397,221.8888846407719,221.2373799036145,222.2565150014162,0.8642021962650261,0.8679266661452626,0.8542146658374834,31.5684425239563,30.735937263727187,30.335752435684203,6.14640587801446,5.96740189104523,5.575148919063913
0,5,214.66921997070312,60904.11851929604,61129.8631062286,61105.85612534322,205.73828793128206,205.38589077335595,206.33961867439746,0.857231225159833,0.8636462094503756,0.8345970497109166,49.61527504181862,48.53396935606003,48.107211953163144,9.224549090122233,9.02287894328958,8.495512779057988
0,6,196.1363410949707,50515.54968483896,50839.85680499286,50709.04602508497,184.27962687404826,183.96503476816414,184.5647221966982,0.8967245630453642,0.9027317526590617,0.8501907778028549,76.0138105521202,74.83350648880005,74.6134479007721,13.637072521787951,13.351490842698826,12.600309915931922
0,7,172.37149047851562,37557.10158492705,37975.42547596429,37700.600903777595,156.90355570133403,156.86179744917155,157.12898127949236,1.0252369061587536,1.0341109705562197,0.9487741701768987,115.84122601938247,114.64148166179658,114.84612959480286,20.360111700397763,19.947187245583383,18.837488265861385
0,8,144.70848083496094,24280.785428298277,24905.583088900912,24603.655292112813,128.12669227941706,129.84847322183847,129.07680897915364,1.3092111925678394,1.3328556677521262,1.1950990682251441,174.84675271892547,173.2283406944275,173.67912115859986,30.773267932699984,30.067371429234093,28.288005700320593
0,9,124.29211044311523,17689.68592894957,18418.40522857204,18132.020582707766,113.9952455325909,117.32157323938608,115.70940716564655,1.788275084385539,1.8226195149827902,1.617395882309036,251.04309746837615,247.77245344924927,247.5059659805298,44.91283621982529,43.59538122429055,40.74065888154955
0,10,126.44096183776855,18930.63844005455,19347.849677196013,18801.163226629447,117.33992362650112,119.77244219309091,117.43570609295368,2.056996923243024,2.078648221622929,1.825745355602833,292.5938430404663,286.16978257369993,283.33303985595705,54.008823371100156,52.36685541269558,48.72168017673296
0,11,126.95940017700195,17377.30474921584,17981.57137527923,17566.20631811332,112.96043642099575,116.03111630350351,113.77248860180379,1.830262352113635,1.8366075309449905,1.5921935841438182,268.79551515579226,260.20829237747193,255.00732070159913,51.24759839678926,50.009870265644786,46.458969189706316
0,12,118.53774452209473,17573.625338986585,18787.09055426614,18950.007214631845,112.60465640791134,116.47371519380808,115.71935085308552,1.5208894988744521,1.5143449268246598,1.3005102651897253,229.7285679883957,219.7921904964447,212.81813390350342,45.2862244411079,44.66374425793745,41.38299604867115
0,13,115.11617088317871,19038.24169533251,20913.45505994313,21742.039899441905,115.27838548334316,120.00703909403086,121.06691782391071,1.3348267035975798,1.317864778582902,1.122881110611104,206.66259955215455,194.66189199066162,185.4024790878296,42.7461106365984,42.55164318067491,38.79819131892133
0,14,115.50592422485352,18832.915175051065,21227.37671256964,22556.886240308086,114.18875777109339,120.01796641260385,122.33952584469318,1.2710874771661662,1.2464450611354754,1.054777763966154,204.98231553459166,190.16728023529052,178.1904241065979,45.11350565805346,45.20025525774141,40.30650076918469
0,15,112.53406143188477,17041.51043707259,19617.150746493688,21079.74543731002,109.54117681654171,116.0987616263032,118.49190950787067,1.300990524327485,1.264313795741467,1.0558480499878142,221.32804085063935,202.388340883255,186.70440090942384,51.961694278961964,52.202311869106346,45.456916919641934
0,16,110.21919059753418,15831.572696727495,18220.695503699564,19475.401432108432,106.48502320917324,112.85500539022684,114.5038079110384,1.3600543652195352,1.3071014073875786,1.0737250586467715,240.8245726222992,217.5935835866928,198.03310330581664,58.98447966175761,59.55370212920124,50.96115419492074
0,17,110.39407730102539,15660.570796998802,18514.358365952976,20205.469605060865,105.57370817573741,112.94246021944285,115.61633453571797,1.3018103124276843,1.24021965582317,1.0096425340053767,238.86651155614854,212.81603191184996,190.56710809516906,60.850913191690026,61.980813117272106,52.12445316380428
0,18,108.29780960083008,15984.34093939228,19846.223802665598,22503.076396916465,105.54437877853587,115.08644764524698,120.33105731022358,1.1845363780410147,1.120767873583836,0.9103053988246677,226.32784689474107,197.96657740306856,173.4065395641327,60.41028928449267,62.20799965311353,51.072396780854476
