,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,239.51160685221353,73707.29964204083,72353.86715913872,73977.05892761327,230.88311931676665,231.38165445962548,227.79686694923043,18.792372289299966,18.766858892679213,18.734905285835268,6.348845643171391,6.56161838085752,6.4788427470129255
0,2,224.1158905029297,62336.089206332785,61152.79337789342,62659.17339299017,207.97341897200545,208.22415633955598,204.7679403759539,44.7135766787529,44.61537106895447,44.60173041915893,14.472756678899131,14.956686729860527,14.873632229832555
0,3,196.43303934733072,44115.97903927889,43264.64858265284,44582.38110409416,170.6784249939819,171.39022920694947,167.77623460546135,95.88061715253194,95.54504943466186,95.66105115509033,30.047456476052016,30.98798938418148,30.964418672522772
0,4,155.66363525390625,25007.47823634506,24793.41769529665,25696.610689378973,131.30900585157673,132.9490744408667,130.8996274525225,193.9687003059387,193.09831885910035,193.54076887130736,59.12058054536513,60.88998751115388,61.08491007292539
0,5,132.65125528971353,29096.033020416122,29666.320306466685,29852.324050138057,140.701591823409,141.9393277825415,142.33215117231012,311.6023322804769,309.8732082824707,311.0830098838806,91.68606653166543,94.32837611195303,94.94612226093182
0,6,143.75656127929688,24124.84267049998,24372.870767804492,24835.14677853039,130.12643546087543,131.78935468760133,131.21430229344963,276.2324771378835,274.48632316207886,275.8866939716339,78.87346234889148,81.11662888227086,81.75407589757847
0,7,129.69036356608072,22799.11162831996,22555.13666977779,23497.63291347949,126.68447958420714,128.5744883507788,126.4153294083178,212.80893352444966,211.32412224578857,212.62357714271545,59.25260315465264,60.920983888719135,61.462982299793445
0,8,127.4703598022461,24978.78148985607,24492.93126040668,25662.93882098536,130.86604853676755,132.41961451616882,129.8504761196673,184.35611677805582,182.90065333366394,184.27840097808837,50.057704280258164,51.38683449017606,51.925771282848785
0,9,130.5681355794271,24309.326213382006,23792.511378324176,24995.313076418774,129.40265697208048,131.06914505472778,128.37038107648493,188.56856419881186,186.9025382270813,188.5839394493103,50.276613082678814,51.49443024687687,52.12363335895561
0,10,127.08773295084636,21930.15311345249,21533.67939088076,22586.206919110868,124.7918003843526,126.44625732317567,124.10298165670038,216.4624204750061,214.35573649787904,216.57626383781434,57.18197556581639,58.395881181524025,59.20462837142224
0,11,124.50518544514973,21304.477585078683,21080.546810982276,21866.714624747434,123.96449166344603,125.80132352533937,123.7612482124865,250.22634063212078,247.61632550048827,250.47760822105408,65.95757323870359,67.1780692360386,68.17256983696154
0,12,125.4305903116862,21366.560198693383,21140.221475447608,21888.814566209614,124.16213130679726,126.02361943522095,123.9203070370257,256.68977281188967,253.88049990463256,257.06958827972414,67.83444375553168,68.93615633152875,69.97077251356683
0,13,124.86317698160808,21055.096559717946,20619.795415687946,21645.184564714604,122.97228372048339,124.60197467890382,122.31653866162897,233.02885561498007,230.3722381515503,233.49470667648316,62.047102142672905,62.93440996168272,63.85813235948097
0,14,123.94043986002605,21773.879304658516,21163.501977486776,22421.004129817164,123.95873655493061,125.53758599558472,122.7245091072619,212.60096971448263,210.0886950149536,213.15120791435243,57.40317436431492,58.10796138264257,58.93221055512469
0,15,124.2184346516927,21726.367602849303,21084.381302797494,22380.40968948247,123.74556102100014,125.33546374216675,122.41465957036614,212.7486313565572,210.1465140762329,213.3919194126129,58.36600299814753,58.9677183615089,59.76231732785065
0,16,123.31143442789714,21034.44773489631,20471.1977672444,21645.075074019616,122.52244849823911,124.23010031595827,121.51317707028986,228.8407309996287,225.9641629447937,229.57910025024415,63.59329561651324,64.13727522553093,64.98115813047635
0,17,123.20531972249348,20878.975262130043,20363.571197260277,21448.469690419948,122.33305064629515,124.15827890482545,121.4757686573565,240.55558781178792,237.4197333641052,241.35131829452516,67.81872913042956,68.25346174913574,69.14220020988775
0,18,123.41212463378906,20931.500924679436,20323.950197002458,21543.729878082853,122.14125728653867,123.89748110857606,120.99596783414484,231.39025689760845,228.23188033866882,232.13561179351808,66.45713549954635,66.72672296877947,67.58859075683337
0,19,122.37202962239583,21330.963534872215,20631.589112971924,22011.064478230168,122.58619198082884,124.28974194613099,121.12116855493188,217.97146736272177,214.86706974601745,218.60972248744966,63.62606292535814,63.748854865379684,64.58161355419966
0,20,122.54713948567708,21275.436158482236,20599.561435499138,21976.88962669295,122.42166224844257,124.19281139078737,121.03498497548699,218.133442832311,215.02600925445557,218.69646536827088,63.85471929936608,63.93287321149978,64.83007301319378
0,21,122.17984008789062,20902.379876043393,20307.398191103828,21588.694763475367,121.81960097359618,123.67826049700379,120.6867077728808,227.17451538213095,224.00070056724547,227.68439973258972,66.37100229311845,66.46050344551905,67.44233713075295
0,22,122.1253433227539,20809.046353078265,20248.13491688759,21509.44956872165,121.61623896645506,123.54392216578125,120.58297008481621,229.0718546892802,225.89345658111571,229.52022999572753,67.10149578811004,67.17018575902259,68.19308877118182
0,23,122.12262725830078,21155.444719566145,20551.556668395,21921.718788353104,121.98534686580301,123.93537197199464,120.80840802732111,217.92938209851582,214.87147117233278,218.3075862121582,64.74936931816839,64.73111862134488,65.73281965109685
0,24,121.67170715332031,21238.337468961738,20645.371625507352,22029.25319247785,122.01370604816078,123.99241836443544,120.83697837415338,215.41902558135988,212.40104862785338,215.75967779541017,64.68501485556108,64.62930211849606,65.61177405256166
0,25,121.48773701985677,20860.509873957933,20313.355064741954,21631.43867484505,121.27668764033913,123.2936488751471,120.30800054231285,222.8854545650482,219.69352558708192,223.2010644197464,67.33657038802829,67.1633959334204,68.2089925900157
0,26,121.0950419108073,20794.098464466817,20247.93031444876,21571.271167510797,121.03495505379637,123.10675056734681,120.07333329549432,223.191188369751,219.89057760047913,223.4650816707611,68.03594510050488,67.71923309159455,68.77877760584524
0,27,121.1657002766927,20955.94316743991,20385.28602067469,21769.12687085106,121.16173877667387,123.30532596674561,120.07000151792168,217.63478079446156,214.34248468780518,217.8373886528015,66.81209821877722,66.3957527229016,67.43971872091508
0,28,120.71641031901042,20669.580506278813,20142.698353578387,21472.91664494261,120.61542809246977,122.8301840428412,119.70163960042596,222.9355962673823,219.5544787120819,223.10240458869933,68.39578269029548,67.90885769766415,68.98813429235923
0,29,120.45827229817708,20587.938304805542,20073.538165402853,21400.246119725944,120.38044599865874,122.65652237024904,119.51324726262689,222.90117735258738,219.47336764907837,222.95696102333068,68.29655208445874,67.71162843050504,68.80864852387529
0,30,120.42417399088542,20629.03614183836,20108.7263714434,21460.37127515562,120.32224792781473,122.64650749102235,119.4483354202807,219.5935558681488,216.2156254863739,219.54322923088074,67.21012263961077,66.54243445822183,67.62534263613883
0,31,120.0702412923177,20380.766312212952,19884.785480972347,21193.252381007926,119.83850785588224,122.1860577019751,119.06552558675408,223.475456076622,220.04311922836303,223.33407231330872,67.97425825051744,67.23586602789685,68.30938666871351
0,32,119.73122151692708,20338.217650424165,19834.349962733322,21152.057909778843,119.58512547031044,121.98104376211762,118.84463841882348,222.03439312235514,218.65647564220427,221.8138923254013,67.75049819949056,66.9148343892616,67.94131789459541
0,33,119.46742248535156,20237.388865682824,19726.9611521361,21048.686444447325,119.20865618339181,121.66315204516053,118.49621488156914,222.20283083947498,218.86398135185243,221.93154360580445,68.3014868835269,67.34870089787532,68.31591235305936
0,34,119.00225321451823,20002.21626219966,19472.292907314364,20785.014858515056,118.60375677505135,121.06569574061037,117.89953383031488,225.85310686016084,222.4133645362854,225.49851050376893,69.84307224046336,68.69229219605911,69.59331031442485
0,35,118.68896993001302,20139.348221513217,19551.54491374631,20948.363258067347,118.47337575927376,121.04098250284791,117.65042085996271,219.25015334733328,215.78152141571044,218.744038230896,68.78980252807732,67.39851854854618,68.21358454282607
0,36,117.99184672037761,19617.572939833197,19057.770754649482,20349.917398000463,117.50834840249021,119.97460576716065,116.8894498154223,230.93765718332926,227.2538615951538,230.18250799369812,71.8422623147773,70.22677104978212,71.1041712032121
0,37,117.75363667805989,19707.889943096634,19115.64348839222,20468.78624841141,117.24065689181288,119.8234970511496,116.52060935178399,223.920692662398,220.20593157100677,222.88024004173278,70.7585304477733,68.82564020424273,69.74361239631945
0,38,117.30768330891927,19551.685418295725,18965.18342653488,20290.981521884427,116.72212889034549,119.30903296604752,116.02080131068826,224.87834727303186,221.1121727051735,223.6547375063896,70.93883204503184,68.79004754042303,69.7447628294496
0,39,116.62447357177734,19408.320886433394,18851.42235263695,20124.536290853375,116.27077165094018,118.8147016979754,115.60395033803582,226.19030328257878,222.54181074786186,224.8882413406372,71.16568498157406,68.91690058036173,69.92719663943114
0,40,116.13793690999348,19457.751848628952,18897.24673809886,20158.712984364345,115.9962652793626,118.47354648604988,115.21839604535698,224.21112979420028,220.68263315224647,222.89267613601686,72.0085822635067,69.59814473600822,70.67421137405678
0,41,116.0713628133138,19589.7787162461,19011.037614340927,20306.333858536273,115.86896894597014,118.37109100738168,114.90508771982789,220.53870272350312,216.94458652329445,219.08041536736488,72.63689297340785,70.09266119452809,71.24129665994906
0,42,115.41183217366536,19626.62400568395,19067.94606351418,20367.88296596125,115.72894659899671,118.29571146956086,114.77530903998017,217.8732097214063,214.25988966083526,216.27250976014136,72.2109349905231,69.71180750732046,70.92164210530977
0,43,115.42565409342448,19301.071269937427,18856.623240393386,20064.68003738535,115.04763189354539,117.71187111440301,114.51396388354898,222.76935693701108,219.56925264811517,221.31567382574082,73.40901352608563,71.21947988054721,72.41995678734212
0,44,115.07097625732422,18795.8965953428,18359.056517009925,19476.181308097548,114.535062992841,117.03098253896833,114.07840779224038,237.54518763379255,233.9955513304472,236.04241877889632,75.78535245846079,73.6847278007876,74.8930009705141
0,45,114.75123087565105,19139.537331490777,18650.546648645617,19922.71641760621,114.49753877340754,117.15049101284146,113.77862162843347,224.04429187556107,220.54311813271045,222.58839651489257,74.55906170689563,72.41850070948747,73.53290386179103
0,46,114.56728617350261,19396.290701162387,18931.594142595146,20253.01073026661,114.57650250731905,117.39898227122426,113.93321266153455,217.76037361323833,214.5168804565668,216.26962583982944,74.5065686598485,72.42857816385842,73.5245774728203
0,47,114.33621215820312,18739.13953522367,18335.18854107178,19530.61657222873,113.6282893332541,116.42063066461682,113.20071626719833,231.31082339255016,227.8804046601057,229.53752136558293,76.45982609332187,74.37219706310678,75.71334786360451
0,48,113.98888397216797,18618.983584329006,18246.000044351043,19391.591147830935,113.3501234001418,116.0827156150639,113.02987396898865,233.38515798809132,229.80413373076917,231.4916067430973,76.9038929574379,74.69321408871295,76.11644224769402
0,49,113.71600596110027,19021.61700100697,18699.074084977798,19896.58762918851,113.45221509942412,116.36412067988515,113.29199610599875,221.47975758745272,218.10455466711522,219.74202530163527,76.23314394928309,74.02652686400039,75.22349671227299
0,50,113.36533864339192,19002.528456556385,18746.693773211406,19909.723385476336,113.18918287999432,116.20545794442296,113.25093105432391,220.6153270790577,217.41315115368366,218.78158211427927,76.81231748639138,74.61749560416219,75.86384452363399
0,51,113.47964731852214,18389.796580392234,18142.222390515504,19204.17667407609,112.57529580162962,115.37711751374603,112.61506987151503,235.8532938976288,232.38241266924143,233.86444642037154,78.46861429527387,76.25445383492618,77.68930662071625
