,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,203.9685821533203,57022.01575431858,80768.26438752798,83194.99495622035,199.25310814380646,248.33097715377806,253.98687353134156,28.539656114578246,25.8893084526062,29.38808298110962,7.172130637063288,6.76559582372875,5.920121175549441
0,2,196.88523864746094,53940.949932045,76727.0532305609,79573.17098477292,191.75931912263235,241.16468152999877,246.2612642288208,36.497261969248456,33.0556040763855,37.454522132873535,9.138046349859408,8.487988764845207,7.569484949170197
0,3,189.86656188964844,50584.184580267945,72231.18543836231,75559.07456537623,183.30711047649385,232.93728303909302,237.5456111907959,45.61674420038859,41.28300256729126,46.75710792541504,11.366453632278311,10.436448167359377,9.389813777268854
0,4,181.37973022460938,46985.55757740271,67341.81898575675,71161.8777464423,173.98305435975394,224.4676712036133,227.60865211486816,55.98473564783732,50.678917503356935,57.36375007629395,13.848638627687214,12.661856589543229,11.394219893600043
0,5,172.9065704345703,43163.210881663574,62041.99817440063,66378.95027292908,164.14484892686207,214.9058069229126,216.2681625366211,67.81827526092529,61.38716125488281,69.45374412536621,16.67638018489235,15.114548256893436,13.656814800613319
0,6,162.38168334960938,39153.28348295657,56342.53723231078,61168.08956568207,154.69085042476655,203.89795513153075,203.2699996948242,81.35096613566081,73.69233360290528,83.31357269287109,19.88750140017057,17.933173926676456,16.311838508407245
0,7,152.5525665283203,35003.728889254955,50300.06935268716,55603.95074487726,145.1443268855413,192.3668996810913,188.40044975280762,96.88638674418131,87.72175025939941,99.15951652526856,23.536886100122597,21.17876324410228,19.31977564452116
0,8,142.9624481201172,30864.644194170793,44048.22795799654,49786.4071351191,136.20856359004975,181.97288608551025,172.58350791931153,114.6408696492513,103.65813751220703,117.24369010925292,27.652016236225247,24.841997302492814,22.731950588610516
0,9,136.3411102294922,26966.877832351205,37821.542366823785,43888.71386262609,129.06537155310312,171.09280338287354,160.94203872680663,134.65873057047526,121.58317489624024,137.61511611938477,32.25700588222042,29.010699709779487,26.5835538737797
0,10,128.41433715820312,23571.31705561661,31901.85079725671,38121.989965291556,123.92598391373953,160.58081188201905,150.02060585021974,157.01734580993653,141.5610065460205,160.31086692810058,37.37150045735532,33.6703810759932,30.858023851143805
0,11,122.59918975830078,21078.873838112522,26707.642108611075,32842.296879134985,120.7119818131129,151.05678272247314,138.1893009185791,181.19208246866862,163.10950241088867,184.70834312438964,42.896761046878005,38.64715194355035,35.35523785766565
0,12,119.95259857177734,19756.335616435517,22611.814913985152,28411.325998088498,119.95068306128184,142.34309749603273,125.80289001464844,206.27628237406412,185.41407051086426,209.94334335327147,48.551708665411226,43.826435878552225,39.88105611532243
