,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,220.14883422851562,65278.316273187454,91632.57815411783,93227.69378315136,218.28660042285918,266.65432183742524,274.0913346767426,8.988189586003621,7.565963768959046,9.283621835708619,2.0497753303915047,1.6971455701780493,2.384820628091902
0,2,218.0333709716797,64086.864664108005,90126.8296858299,91946.29166486255,215.5558628400167,264.22647845745087,271.22709674835204,11.84049839178721,9.99380714893341,12.14785976409912,2.647271083651095,2.133942337563345,2.9271637858356763
0,3,215.15150451660156,62613.75685613615,88251.11084138753,90381.68889330149,212.13701565265654,261.214279460907,267.60110754966735,15.40537584622701,13.006006145477295,15.773848962783813,3.3469886404015297,2.7245038743806,3.566400356010386
0,4,212.05625915527344,60856.35549994019,86045.81198552767,88492.38132129352,208.0398676474889,257.5455296993256,263.28847336769104,19.743371756871543,16.674755907058717,20.08648314476013,4.19775725033034,3.420781201566104,4.285000271742558
0,5,208.10150146484375,58782.233284792914,83411.71746317593,86245.89220316145,203.20513775348664,253.11220703125,258.06739835739137,24.971773449579874,21.10807857513428,25.318496417999267,5.204531999189291,4.251570471504668,5.0748496815725
0,6,203.42022705078125,56347.04141481947,80282.88202296835,83601.65724335414,197.60931708812714,247.78572721481322,252.20938653945922,31.26186196009318,26.434558391571045,31.673127841949462,6.38171481126301,5.29031302239199,6.076009793256758
0,7,197.02772521972656,53540.67699171036,76637.68575546247,80503.74371035314,190.94315927028657,241.40445032119752,245.17444496154786,38.76263510386149,32.815835285186765,39.3088436126709,7.761045725712289,6.5125396472486345,7.295948903746945
0,8,190.87799072265625,50336.726335749576,72463.85299770339,76909.81087312632,183.32542283535003,234.73107213973998,236.84989376068114,47.709724044799806,40.38408269882202,48.32768039703369,9.337517635176495,7.91902189016095,8.631907828751396
0,9,183.66302490234375,46751.14541660378,67705.7249138575,72771.61277967134,174.97088073889415,226.87054634094238,226.944970703125,58.290792592366536,49.37614765167236,59.01754531860352,11.148183160991845,9.58824569664416,10.125681448445675
0,10,175.2868194580078,42816.15500911802,62387.31761350322,68107.27533452862,165.353147037824,217.61241397857665,215.26961708068848,70.74740098317464,59.94278564453125,71.60136222839355,13.283727163506056,11.561631294224869,11.812583160256942
0,11,163.84310913085938,38609.89047530225,56538.02027747074,62923.75062845915,155.54297654628755,206.76666030883788,201.52624969482423,85.3433084487915,72.34165287017822,86.38318481445313,15.79284474797399,13.909804116547527,13.768069473573464
0,12,153.80104064941406,34225.888771399485,50219.25336345167,57243.19780334885,145.6565779129664,194.20145072937012,186.60771102905272,102.41604105631511,86.89823627471924,103.75820770263672,18.728084536891796,16.565952962486183,16.096253840756223
0,13,144.5105438232422,29871.173307693414,43653.57673383023,51211.65993835244,136.44901209672292,181.94239444732665,169.9139305114746,122.21543935139974,103.6897087097168,123.9030776977539,22.14523748037336,19.54550803841864,18.831357459705117
0,14,136.71202087402344,25841.76685193225,37162.357974576065,44978.671902866554,129.56614847977957,169.24341030120848,155.8502395629883,145.03326619466145,123.04005241394043,147.00262527465821,26.121737279170485,23.07042585543402,21.992708409159945
