,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,0,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,1,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,2,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,3,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,4,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,5,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,6,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,7,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,8,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,9,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,10,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,11,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,12,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,13,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,14,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,15,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,16,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,17,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,18,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,19,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,20,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,21,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,22,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,23,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,24,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,25,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,26,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,27,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,28,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,29,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,30,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,31,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,32,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,33,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,34,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,35,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,36,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,37,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,38,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
0,39,0,41611.68,43167.066,41714.004,166.04616,166.92303,171.21666,248.73506,253.75874,248.0886,143.22437,148.67188,144.93613
