,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,246.90385818481445,81502.61760419709,77727.7165336543,81868.18439337994,246.5090282763541,246.03788611063362,239.59341308577507,2.149464485257864,2.1610596789717675,12.097628596830369,0.8316682059528647,0.8330589854193089,3.629970847691584
0,2,246.00067138671875,80972.1759811148,73549.37657473744,81329.85236629283,245.43786168111862,244.94113565245272,231.3004497728154,3.2936180457919835,3.317809261918068,20.583935328769684,1.2675706528399775,1.2735596786812569,5.667414479312261
0,3,244.7235336303711,80191.34899337379,66140.94492409547,80539.69546402206,243.88382889682055,243.35139844086765,216.6274871996686,4.984837880909443,5.022373927116394,35.90278047914505,1.9122501537655607,1.9276916158263806,10.187061190600001
0,4,242.87551498413086,79018.76258689714,55976.642223442315,79354.86932492307,241.57534770908953,240.99432701805233,195.7632682730481,7.535264049500227,7.587223442316056,58.7151469584465,2.824627944221471,2.855787710432513,17.238064663256512
0,5,240.19580078125,77300.98211756328,43687.49697501085,77620.57841454436,238.22235624116658,237.5857632227242,169.19763496816606,11.311811623036862,11.384397988796234,90.82722678871154,4.142574117838217,4.20861145014381,26.748478778746215
0,6,236.2700538635254,74778.82117882572,29397.203677858364,75075.21093698924,233.3262615747452,232.6921008799374,136.70878750131578,16.984466773629187,17.08528130078316,139.50332930355071,6.1360392040093314,6.260199462241738,40.784543732317395
0,7,230.5222930908203,71057.45109746231,17394.060084135974,71320.06524815083,226.13504587912558,225.57610742905737,108.90312448690385,25.68083395946026,25.821633041381837,214.81229502334594,9.236734057937564,9.446334440251706,62.27105406105873
0,8,222.0907211303711,65706.48269215654,23287.952269754325,65927.59171522102,215.84535075843334,215.3183733687699,128.57133759420364,38.9607256090641,39.1549294719696,333.0335228996277,13.990053972527404,14.323175074574236,96.36799946501623
0,9,210.2334327697754,58350.35532197294,91038.69534693276,58524.928637069264,201.64201787388325,200.9864847598374,269.27735784490557,59.072336647033694,59.337297523498535,514.2560360733032,21.126560341203053,21.642338135132842,148.07724437454002
0,10,194.599365234375,48962.3891444211,327675.3501084169,49090.672829957024,183.4200934649706,182.59808145096898,536.9098791827962,89.35586910152435,89.72100724411011,788.0226040634155,31.69666770356386,32.47680334869212,224.64022144852692
0,11,175.21883392333984,38755.00803029296,971939.8199511253,38861.80157709731,163.16325433695317,162.47581116440892,940.9395561008259,134.17462442064286,134.67804791259766,1192.5679105041504,46.921857936368205,48.084071161149396,335.15038348041963
0,12,156.34132766723633,31692.782292858377,2447777.5731777144,31858.1379578167,148.00797049057485,147.32232411912085,1501.8228557773396,196.56925716114046,197.18798793792723,1753.454172796631,66.891005809188,68.58064028003344,489.26379973077076
0,13,147.74525833129883,32316.55444857022,4593149.208938468,32584.976108743183,147.06661278259753,147.08512928727268,2060.5129813327594,259.18674538516996,259.67165411376953,2312.1442983520506,83.87859894431756,86.01724314667887,645.1358191879917
0,14,150.1447410583496,31888.64577977256,4989775.749892262,32103.201165102906,146.06574584209918,146.1146404300034,2146.8945250461384,271.1439548511505,271.1693787498474,2398.5258420654295,82.34258211583986,84.35740849012043,673.4376401140515
