,epoch,train_loss,train_mse,test_mse,dev_mse,acc_train,acc_test,acc_dev,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,108777.541015625,89611.91,117594.58,218892.97,0.21666666666666667,-0.95,0.1,3.872573,5.5788555,6.9996004,1.6684264,2.5657845,2.1910894
0,2,89835.5,87910.445,114854.8,217226.72,0.31666666666666665,-0.8,0.15,6.538631,9.583208,11.699583,2.5248094,3.8031373,3.3143277
0,3,96448.048828125,92137.68,118611.0,223165.25,0.16666666666666666,-1.0,0.0,7.844506,11.552492,14.015497,2.9561038,4.414189,3.8841767
0,4,93542.74609375,91626.15,118151.15,222829.53,0.18333333333333332,-1.0,0.0,7.806868,11.518618,13.959505,2.9341905,4.3616834,3.8669307
0,5,83290.75390625,87995.48,114877.81,218291.47,0.31666666666666665,-0.8,0.1,6.947996,10.258558,12.455498,2.6369476,3.9078364,3.4945297
0,6,90755.076171875,85542.17,112835.75,215173.5,0.38333333333333336,-0.7000000000000001,0.2,5.696071,8.410494,10.25824,2.2091875,3.2645593,2.954595
0,7,94539.27734375,86085.07,113665.5,215924.55,0.35,-0.75,0.15,4.53037,6.693534,8.2162285,1.8120254,2.665056,2.456861
0,8,82802.7734375,87660.95,115316.9,218076.88,0.26666666666666666,-0.85,0.15,3.8131933,5.648283,6.9642205,1.5639943,2.2810357,2.1527178
0,9,96571.341796875,87331.61,114931.46,217871.78,0.3,-0.8,0.15,3.8172786,5.6790733,6.9844985,1.5593909,2.2503955,2.160598
0,10,78953.24609375,85717.53,113246.7,216077.53,0.35,-0.75,0.15,4.267106,6.3710713,7.791642,1.7096431,2.4457939,2.3652644
0,11,85483.638671875,84103.49,111520.58,214383.38,0.4166666666666667,-0.65,0.2,5.0705557,7.5890894,9.2224865,1.9814187,2.8184888,2.7239935
0,12,85366.75390625,83759.17,111090.75,214361.42,0.45000000000000007,-0.65,0.2,5.8151927,8.717063,10.549062,2.23583,3.1668408,3.0605187
0,13,87392.599609375,84038.72,111347.375,215087.9,0.45000000000000007,-0.65,0.2,6.3003855,9.456119,11.418825,2.405566,3.3927588,3.2892997
0,14,82375.541015625,84205.555,111551.64,215608.58,0.4333333333333334,-0.65,0.2,6.538279,9.826391,11.852907,2.4925532,3.4983773,3.412297
0,15,82862.59765625,83634.734,111055.31,215063.1,0.45000000000000007,-0.65,0.2,6.3977604,9.6339035,11.616532,2.4489732,3.4125836,3.3670497
0,16,80651.98828125,82796.234,110326.484,214084.66,0.4833333333333333,-0.6,0.2,6.023659,9.091051,10.96607,2.3277173,3.2147686,3.2216926
0,17,82075.01953125,82226.4,109852.1,213443.34,0.49999999999999994,-0.55,0.25,5.5920877,8.463683,10.213158,2.186379,2.9867089,3.0503452
0,18,82505.251953125,82015.15,109724.92,213254.45,0.5000000000000001,-0.55,0.25,5.197806,7.890641,9.52701,2.0613556,2.782746,2.9000735
0,19,85548.8046875,81888.914,109661.125,213229.45,0.5000000000000001,-0.55,0.25,5.0017896,7.6124587,9.191553,2.0055494,2.6795828,2.8382015
0,20,81074.111328125,81518.37,109330.89,213007.08,0.5166666666666667,-0.55,0.25,5.118883,7.8008423,9.408478,2.0546224,2.7294376,2.909541
0,21,85987.646484375,81131.05,108968.086,212819.22,0.5333333333333333,-0.5,0.25,5.35642,8.169699,9.837901,2.1433108,2.836477,3.031272
0,22,86583.408203125,80854.16,108752.96,212759.08,0.5333333333333333,-0.5,0.25,5.543912,8.463038,10.180724,2.217594,2.9235525,3.1349423
0,23,72053.470703125,80587.414,108532.08,212631.55,0.55,-0.5,0.25,5.540861,8.473399,10.185545,2.2271905,2.9156022,3.1553242
0,24,83658.63671875,80319.78,108318.0,212469.97,0.5666666666666667,-0.5,0.25,5.4685006,8.379741,10.067616,2.2146747,2.875761,3.1470284
0,25,85009.099609375,80058.016,108081.02,212349.95,0.5666666666666667,-0.5,0.25,5.417653,8.318873,9.9847145,2.2068133,2.8415956,3.1433017
0,26,76301.62890625,79790.77,107854.05,212268.05,0.5666666666666667,-0.45,0.25,5.462389,8.398766,10.070185,2.2311676,2.8552427,3.181089
0,27,87494.85546875,79538.7,107672.0,212200.67,0.5833333333333334,-0.45,0.25,5.538201,8.520167,10.209978,2.2684195,2.8912199,3.2355225
0,28,83702.138671875,79304.2,107518.73,212166.9,0.5833333333333334,-0.45,0.25,5.633244,8.669256,10.383898,2.3130789,2.9387186,3.2995286
0,29,82616.943359375,79064.88,107357.39,212106.08,0.6,-0.45,0.25,5.678077,8.744308,10.469246,2.3411126,2.961268,3.3420773
0,30,83680.455078125,78835.984,107220.35,212059.7,0.6166666666666667,-0.45,0.25,5.7327533,8.833311,10.57284,2.3736343,2.9906697,3.3908265
0,31,89923.7421875,78549.625,107019.54,211866.67,0.6166666666666667,-0.4,0.25,5.6722164,8.752007,10.474108,2.3700094,2.9661574,3.3933659
0,32,84025.4296875,78278.125,106867.77,211690.83,0.6166666666666667,-0.4,0.25,5.6271057,8.693017,10.405552,2.3746235,2.9547029,3.407397
0,33,74020.42578125,78012.78,106724.39,211539.25,0.6333333333333333,-0.4,0.25,5.5962143,8.65408,10.360914,2.3838656,2.9508772,3.4269261
0,34,81728.75390625,77746.1,106599.58,211372.72,0.65,-0.4,0.3,5.537681,8.573125,10.267869,2.384935,2.936019,3.4361012
0,35,81258.525390625,77486.914,106476.766,211205.58,0.65,-0.4,0.3,5.432023,8.422114,10.089701,2.3691905,2.8968177,3.4226868
0,36,78507.234375,77242.016,106323.02,211183.47,0.6666666666666666,-0.4,0.3,5.5173144,8.557443,10.246085,2.4106328,2.940026,3.4814677
0,37,80104.66796875,76990.37,106146.8,211098.75,0.6666666666666666,-0.4,0.3,5.4835887,8.515239,10.189608,2.4125352,2.9257371,3.4877877
0,38,75951.134765625,76744.9,105994.35,210979.8,0.6666666666666666,-0.35000000000000003,0.3,5.3905644,8.384855,10.030628,2.3983052,2.8882017,3.4735985
0,39,71073.025390625,76510.27,105875.11,210889.95,0.6833333333333333,-0.35000000000000003,0.3,5.3374476,8.312511,9.943039,2.398143,2.8727443,3.4779587
0,40,76693.416015625,76255.45,105707.56,210905.7,0.6833333333333333,-0.35000000000000003,0.3,5.468094,8.51362,10.176174,2.4517462,2.9356022,3.5507684
0,41,75085.103515625,76057.33,105589.484,211027.62,0.7,-0.35000000000000003,0.3,5.644386,8.781968,10.488168,2.5181258,3.0179162,3.6395557
0,42,73496.75390625,75885.23,105485.15,211156.5,0.7,-0.35000000000000003,0.3,5.7685413,8.971639,10.706167,2.5675828,3.0764804,3.705529
0,43,79834.751953125,75741.97,105431.414,211332.47,0.7166666666666667,-0.35000000000000003,0.3,5.891074,9.156575,10.920156,2.6164148,3.136068,3.770703
0,44,67979.27734375,75530.02,105304.4,211359.4,0.7166666666666667,-0.35000000000000003,0.3,5.920357,9.201889,10.968325,2.6359208,3.153549,3.7974105
0,45,76170.669921875,75094.85,104964.92,210890.6,0.7333333333333333,-0.3,0.3,5.640978,8.788965,10.474457,2.5631769,3.0360234,3.7041602
0,46,76377.46875,74823.35,104776.17,210623.33,0.7333333333333333,-0.3,0.3,5.3283296,8.327441,9.921712,2.481313,2.9054554,3.5975373
0,47,78729.96484375,74711.22,104720.09,210604.22,0.7333333333333333,-0.3,0.3,5.067222,7.944303,9.459103,2.4149888,2.7974887,3.509438
0,48,79536.337890625,74592.05,104649.125,210659.88,0.7333333333333333,-0.3,0.3,4.9342484,7.75257,9.221837,2.3866572,2.7447603,3.4705372
0,49,81954.50390625,74307.07,104357.96,210646.84,0.7333333333333333,-0.3,0.3,4.9818377,7.832967,9.29889,2.4065516,2.7583976,3.4927227
0,50,74108.41015625,73950.414,103985.5,210613.05,0.7666666666666667,-0.25,0.3,5.1326365,8.066713,9.556092,2.4554572,2.8138206,3.552676
0,51,79064.10546875,73631.95,103697.58,210618.25,0.7666666666666667,-0.25,0.3,5.2944293,8.314523,9.835301,2.5111117,2.8803172,3.623586
0,52,75873.98828125,73373.01,103485.08,210650.0,0.7666666666666667,-0.25,0.3,5.37235,8.436509,9.967009,2.5427694,2.913717,3.6626618
0,53,72356.916015625,73141.85,103268.016,210647.16,0.7833333333333333,-0.25,0.3,5.3208385,8.366563,9.868407,2.5349,2.8902395,3.647744
