,epoch,train_loss,train_mse,test_mse,dev_mse,mean_error_train,mean_error_dev,mean_error_test,mean_pred_train,mean_pred_dev,mean_pred_test,std_pred_train,std_pred_dev,std_pred_test
0,1,104102696.0,104100560.0,11603680.0,857062.6,658.119,236.99786,416.21774,0.0034706243,0.011007399,0.009500263,0.0020968972,0.0063944,0.0061309217
0,2,104103136.0,104099640.0,11603269.0,856682.2,657.4482,236.32799,415.54797,0.004615513,0.014401276,0.012895785,0.0021931743,0.0068082344,0.0063985283
0,3,104104632.0,104098770.0,11602865.0,856306.4,656.79224,235.66304,414.89365,0.0057513034,0.017769096,0.016267648,0.002301286,0.0072555365,0.006699743
0,4,104097224.0,104097920.0,11602447.0,855933.94,656.1471,235.00409,414.24207,0.0068811243,0.021121306,0.01962492,0.0024215712,0.007740246,0.007045008
0,5,104101496.0,104097070.0,11602044.0,855564.0,655.5096,234.35844,413.60254,0.008007617,0.02446655,0.022973083,0.0025497947,0.008245142,0.007418605
0,6,104100984.0,104096230.0,11601641.0,855196.94,654.88983,233.72614,412.9761,0.009127134,0.027789995,0.026303655,0.0026866165,0.008769525,0.007820253
0,7,104092080.0,104095370.0,11601225.0,854827.44,654.2789,233.0957,412.368,0.01025502,0.03113699,0.029668206,0.0028311128,0.00931677,0.008248109
0,8,104097960.0,104094510.0,11600810.0,854458.2,653.6741,232.46768,411.776,0.0113869915,0.03449657,0.033048246,0.0029802485,0.009877141,0.008696402
0,9,104093248.0,104093670.0,11600404.0,854089.6,653.0811,231.84213,411.18655,0.01252178,0.037859935,0.03643637,0.0031341552,0.010444492,0.009159701
0,10,104095912.0,104092830.0,11600000.0,853722.94,652.49774,231.22275,410.6159,0.013651622,0.041207694,0.03980919,0.003292978,0.011021161,0.009639401
0,11,104090592.0,104091944.0,11599581.0,853353.25,651.9179,230.60663,410.0643,0.01479441,0.04458939,0.043217417,0.003458348,0.011612446,0.010134232
0,12,104089752.0,104091064.0,11599164.0,852982.3,651.3422,229.99977,409.51965,0.015945764,0.047991026,0.046649765,0.0036276348,0.012213782,0.010641109
0,13,104092640.0,104090180.0,11598747.0,852609.8,650.78107,229.3949,408.97415,0.01710803,0.051425207,0.05011117,0.0038008809,0.01282368,0.011157282
0,14,104087328.0,104089256.0,11598319.0,852236.25,650.2276,228.8167,408.4251,0.018282473,0.054897457,0.05360554,0.0039787046,0.013443373,0.011681574
0,15,104090000.0,104088350.0,11597891.0,851859.75,649.6812,228.2553,407.8823,0.019468822,0.058404583,0.057136115,0.0041598734,0.014066427,0.01221569
0,16,104090248.0,104087464.0,11597466.0,851480.94,649.1408,227.69356,407.34567,0.020662444,0.0619359,0.060687974,0.0043436023,0.014695066,0.012757911
0,17,104083272.0,104086530.0,11597030.0,851098.9,648.6049,227.13214,406.81107,0.02187255,0.06551709,0.064286515,0.004530723,0.015332774,0.013308624
0,18,104089736.0,104085624.0,11596588.0,850715.1,648.0738,226.57542,406.28726,0.023090072,0.06912027,0.06790432,0.0047204844,0.015976842,0.013867684
0,19,104085816.0,104084664.0,11596155.0,850328.0,647.5562,226.02505,405.77032,0.024323741,0.07277035,0.071571834,0.0049128467,0.016626522,0.014439264
0,20,104081264.0,104083740.0,11595707.0,849936.0,647.0449,225.4756,405.26187,0.025576303,0.07647927,0.07529396,0.0051086512,0.017288957,0.015021796
0,21,104087768.0,104082710.0,11595260.0,849542.75,646.5383,224.93013,404.77173,0.026839642,0.08022048,0.07904944,0.005306217,0.017955355,0.015610789
0,22,104078872.0,104081736.0,11594798.0,849144.5,646.04083,224.39677,404.285,0.028121697,0.08401713,0.08285877,0.0055075753,0.018631732,0.016210465
0,23,104074208.0,104080740.0,11594336.0,848740.8,645.549,223.87373,403.81213,0.029427286,0.08788531,0.0867378,0.0057128035,0.019320184,0.01682317
0,24,104082808.0,104079736.0,11593878.0,848334.6,645.0636,223.35533,403.34766,0.030749295,0.09180225,0.0906637,0.005921798,0.020015545,0.017449312
